Plant_ID,Days,Temperature_C,Humidity_%,Rainfall_mm,Soil_Moisture_%,Sunlight_hr,Fertilizer_g,Plant_Height_cm
P001,168,21,41,23,47,5,24,105.94
P002,31,35,45,18,57,4,11,31.41
P003,64,34,78,0,65,5,44,54.2
P004,119,36,57,25,30,10,20,79.68
P005,92,26,49,6,78,6,16,70.8
P006,29,29,62,19,46,10,12,34.33
P007,142,21,64,2,65,6,50,98.98
P008,97,36,52,22,34,4,24,66.89
P009,25,25,46,12,47,7,50,33.05
P010,46,29,62,6,72,6,14,47.11
P011,48,35,86,7,40,7,34,38.89
P012,168,35,54,21,50,10,13,108.26
P013,13,28,65,8,34,5,46,22.6
P014,85,24,81,15,55,9,39,64.18
P015,40,25,87,17,64,6,47,43.02
P016,154,30,63,7,38,8,41,96.92
P017,17,21,49,20,40,10,37,26.04
P018,103,30,78,14,63,6,45,79.79
P019,7,21,83,28,64,10,27,27.71
P020,92,21,58,13,40,7,10,66.47
P021,72,34,88,5,62,4,50,57.47
P022,168,34,78,6,39,6,20,105.25
P023,140,18,78,10,61,4,17,96.67
P024,83,25,43,7,66,4,15,65.89
P025,22,35,89,4,38,9,40,28.91
P026,47,26,73,27,68,7,23,50.94
P027,56,27,65,21,71,6,38,56.51
P028,120,21,55,7,34,6,11,77.4
P029,63,36,54,0,34,9,50,45.19
P030,22,19,61,2,62,5,27,30.79
P031,59,35,48,23,66,8,40,53.21
P032,126,31,52,3,36,9,37,82.31
P033,110,32,86,1,73,9,16,79.66
P034,91,21,55,6,42,8,38,62.73
P035,51,26,69,7,34,7,45,39.16
P036,171,35,40,2,78,10,25,115.62
P037,129,33,53,27,55,4,20,87.93
P038,104,26,90,25,59,6,37,78.84
P039,147,33,49,6,48,5,13,95.61
P040,143,19,87,10,33,4,47,90.23
P041,140,23,43,30,62,4,21,94.16
P042,22,25,65,3,66,5,47,33.15
P043,163,20,66,21,67,8,43,110.97
P044,71,24,82,22,50,5,26,55.25
P045,176,38,59,14,50,10,14,110.48
P046,164,36,46,2,64,5,42,107.84
P047,94,20,55,11,48,5,38,69.27
